BTGER11808197601,GREIS Michael,75,16
BTCZE12507197701,VITEK Zdenek,29,21
BTLAT11707198301,PIKSONS Edgars,11,16
BTBUL11606198701,ANEV Krasimir,65,26
BTFRA11811198301,HABERT Lois,9,11
BTCAN12510198301,PERRAS Scott,14,18
BTSLO11008197501,MARIC Janez,11,20
BTBLR12602198701,ABRAMENKO Evgeny,28,23
BTNOR12907198801,BOE Tarjei,352,27
BTITA11205198401,WINDISCH Markus,117,27
BTAUT12302198301,EDER Simon,127,22
BTCZE10302198301,SLESINGR Michal,246,31
BTCRO10108198701,FAK Jakov,302,29
BTGER12407198801,GRAF Florian,179,25
BTFIN12209198001,ANTILA Timo,12,17
BTNOR10105197901,BERGER Lars,91,18
BTRUS10504198801,VOLKOV Alexey,122,16
BTFRA11409198801,FOURCADE Martin,724,31
BTFRA10403198601,BOEUF Alexis,209,31
BTRUS11610198201,MAKOVEEV Andrei,256,28
BTSLO10901198601,BAUER Klemen,106,28
BTSUI10510198901,WEGER Benjamin,227,28
BTPOL12112197301,SIKORA Tomasz,37,21
BTUSA10302198201,BURKE Tim,190,31
BTNED10706199001,SLOOF Lucien,3,1
BTKAZ12904198701,SAVITSKIY Yan,20,12
BTPOL10104198801,SZCZUREK Lukasz,21,16
BTSLO11101198501,DOKL Peter,11,10
BTUSA11506198101,BAILEY Lowell,192,31
BTSWE10108197801,FERRY Bjoern,285,29
BTCAN10411198601,GREEN Brendan,105,17
BTSVK11005198301,KAZAR Matej,32,23
BTLTU10105199001,KAUKENAS Tomas,6,16
BTBUL11703198701,ILIEV Vladimir,21,19
BTLAT11905199001,PUZULIS Rolands,22,11
BTLTU10806199101,DOMBROVSKI Karol,2,8
BTGER21507198601,BACHMANN Tina,202,31
BTSUI12206199001,DOLDER Mario,5,8
BTJPN10512198101,NAGAI Junji,15,19
BTFRA12504198401,FOURCADE Simon,402,31
BTAUS12203199001,ALMOUKOV Alexei,10,10
BTSVK12909198301,SIMOCKO Dusan,26,17
BTGER11803198701,PEIFFER Arnd,441,28
BTAUT12202197801,PINTER Friedrich,21,13
BTFRA11805198501,JAY Vincent,68,19
BTKOR12112198701,JUN Je-Uk,9,12
BTFRA11111199101,CLAUDE Florent,3,3
BTEST12507198301,KOIV Kauri,13,19
BTUKR13004198701,PRYMA Artem,39,15
BTSLO10606197701,RUPNIK Vasja,14,16
BTFIN10501199001,TOIVANEN Ahti,6,20
BTAUT11711198701,GROSSEGGER Sven,40,13
BTGBR12701198701,BEYER Pete,6,10
BTSUI12404198301,JOLLER Ivan,45,19
BTJPN13010198501,INOMATA Kazuya,10,19
BTITA13009198901,HOFER Lukas,146,28
BTGER10709198101,GRAF Daniel,35,6
BTBUL11402198601,BOGDANOV Martin,16,6
BTRUS13005198701,VASILYEV Victor,3,1
BTSCG12307198801,RASTIC Damir,2,12
BTCAN10611199001,GOW Scott,3,2
BTFRA22804197701,SOULIE Laure,39,20
BTFRA21906198601,DORIN HABERT Marie,417,32
BTSWE20609198401,EKHOLM Helena,479,32
BTPOL22802198401,CYL Agnieszka,49,17
BTSWE23008198701,JONSSON Jenny,64,17
BTNOR21803198101,BERGER Tora,626,31
BTBLR20308198602,DOMRACHEVA Darya,839,32
BTITA20304199001,WIERER Dorothea,14,20
BTGER21012197701,HENKEL Andrea,420,31
BTBUL20705198001,KLENOVSKA Nina,10,19
BTBLR22703198501,SKARDINO Nadezhda,71,28
BTFRA22011198801,BRUNET Marie Laure,511,30
BTROM20412197801,TOFALVI Eva,43,24
BTITA21202197901,PONZA Michela,171,32
BTSLO21711197701,MALI Andreja,48,25
BTFRA21712198901,BOILLEY Sophie,136,27
BTCZE20811198601,TOMESOVA Barbora,5,20
BTCAN20512198201,KOCHER Zina,102,28
BTSVK22711198401,GEREKOVA Jana,107,29
BTPOL21608198301,PALKA Krystyna,182,32
BTNOR22111198901,RINGEN Elise,114,28
BTITA21201198101,HALLER Katja,50,19
BTNED21907199201,SLOOF Chardine,0,5
BTSWE20506198701,LARSSON Emelie,5,4
BTBLR20603198801,YURKEVICH Darya,4,2
BTAUT22411200201,SCHREMPF Romana,5,14
BTCAN21402198601,IMRIE Megan,31,22
BTGBR23011198401,JONES Nerys,1,6
BTJPN21301198901,SUZUKI Fuyuko,36,24
BTKOR20208198801,MUN Ji-Hee,4,13
BTROM22903198901,FERENCZ Reka,36,16
BTKOR20306198901,KIM Seon-Su,1,8
BTFRA22502198801,BOSC Laure,20,6
BTNOR22912198001,MOERKVE Jori,3,5
BTFIN20712198801,REPO Sarianna,2,4
BTJPN20805198001,OWADA Itsuka,1,9
BTUKR21004198301,SUPRUN Inna,2,10
BTSVK23105198901,PREKOPOVA Natalia,1,4
BTPOL20110198401,BOBAK Paulina,9,11
BTUSA22604198202,BARNES Lanny,11,6
BTAUT20207198701,SCHWABL Iris,37,14
BTSWE22109198601,MATTSSON Elin,2,6
BTBLR22006198901,TALKACH Ala,2,5
BTLAT21311199101,BRICE Anete,3,7
BTSWE12407198901,LINDSTROEM Fredrik,347,31
BTAUT12205197601,MESOTITSCH Daniel,221,28
BTNOR11207198501,SVENDSEN Emil Hegle,696,30
BTKAZ11806198001,CHERVYHKOV Alexsandr,16,12
BTGER11109198102,BIRNBACHER Andreas,481,29
BTITA11802198101,DE LORENZI Christian,76,21
BTCZE10906198401,MORAVEC Ondrej,96,28
BTUKR11808197701,DERYZEMLYA Andriy,50,27
BTRUS11302198801,GARANICHEV Evgeniy,306,23
BTAUT11901197601,SUMANN Christoph,94,23
BTLAT12705198801,RASTORGUJEVS Andrejs,18,17
BTRUS10406198501,USTYUGOV Evgeny,291,26
BTNOR12701197401,BJOERNDALEN Ole Einar,271,27
BTRUS12108198701,SHIPULIN Anton,353,28
BTUKR12807198801,SEMENOV Serhiy,53,23
BTAUT11303198801,LANDERTINGER Dominik,111,24
BTCZE11207198201,SOUKUP Jaroslav,149,29
BTSWE11403197801,BERGMAN Carl Johan,369,27
BTUKR11912198301,SEDNEV Serguei,38,18
BTSUI10503197901,HALLENBARTER Simon,90,27
BTCAN13107198501,LE GUELLEC Jean-Philippe,90,22
BTBUL10312198201,KLETCHEROV Michail,74,29
BTEST11404197801,LESSING Roland,36,19
BTGER11411198801,SCHEMPP Simon,146,25
BTLAT11906199101,PAEGLITIS Marcis,0,1
BTNOR10504198401,BRATTSVEEN Rune,84,18
BTROU12708198901,GAVRILA Stefan,8,17
BTBLR11510198601,BABCHYN Aliaksandr,12,18
BTKAZ11203198601,TRIFONOV Alexandr,3,5
BTEST10504197601,TOBRELUTS Indrek,18,21
BTPOL11102198301,PLYWACZYK Krzysztof,36,22
BTGBR12004198001,JACKSON Lee-Steve,10,20
BTITA10611198901,WINDISCH Dominik,23,19
BTKOR13003198401,LEE In-Bok,3,6
BTUSA11907197701,HAKKINEN Jay,83,25
BTFIN10604198201,KAUPPINEN Jarkko,24,18
BTNED11511198801,SLOOF Joel,1,3
BTBLR11507198801,CHEPELIN Vladimir,0,1
BTUKR10801197801,BILANENKO Olexander,46,13
BTSWE10706198801,ARWIDSON Tobias,16,6
BTSCG12109198801,PETROVIC Milanko,4,17
BTGBR11602198301,KANE Kevin,3,8
BTUKR10611198101,PRYMA Roman,5,9
BTSVK12508198701,OTCENAS Martin,2,4
BTRUS10709198901,BURTASOV Maksim,4,4
BTCZE11101197601,HOLUBEC Tomas,33,11
BTPOL10301198601,BRIL Grzegorz,1,2
BTSWE10404198201,JONSSON Magnus,41,18
BTBLR10312198701,LIADOV Yuryi,6,9
BTUSA11705198901,NORDGREN Leif,11,12
BTJPN13007197601,ISA Hidenori,28,14
BTNOR11102198801,BIRKELAND Lars Helge,17,12
BTUKR21801198602,SEMERENKO Vita,277,29
BTUSA23010198701,SPECTOR Laura,1,4
BTFIN21101198301,MAKARAINEN Kaisa,646,32
BTRUS22808198401,KUZMINA Anastasiya,313,33
BTPOL20408197901,GWIZDON Magdalena,56,20
BTFIN20911198701,LAUKKANEN Mari,41,28
BTGER22106199001,GOESSNER Miriam,105,28
BTSLO22906198001,GREGORIN Teja,239,28
BTRUS22302198502,YURLOVA Ekaterina,38,13
BTITA20311198501,OBERHOFER Karin,29,19
BTFRA21505198701,BESCOND Anais,106,27
BTBLR22307198201,KALINCHIK Liudmila,65,20
BTUKR20901198701,PIDHRUSHNA Olena,92,21
BTNOR21505198901,SOLEMDAL Synnoeve,287,31
BTGBR12305197801,LAPONDER Marcel,11,7
BTCHN12205198401,CHEN Haibin,5,9
BTBUL22406199301,DIMITROVA Niya,23,18
BTSWE20101198101,STROEMSTEDT Anna-Karin,28,21
BTGER20902198701,NEUNER Magdalena,821,31
BTKAZ22905198501,LEBEDEVA Marina,9,12
BTUSA20710198401,STUDEBAKER Sara,48,26
BTKAZ21309198701,POLTORANINA Olga,38,15
BTSWE21305198301,NILSSON Anna Maria,111,29
BTRUS23107198601,SLEPTSOVA Svetlana,222,27
BTRUS21605197801,ZAITSEVA Olga,519,29
BTSUI20304198401,GASPARIN Selina,59,23
BTNOR20803198801,HORN Fanny Welle-Strand,59,16
BTUKR21801198601,SEMERENKO Valj,124,27
BTRUS22610198301,BURDYGA Natalya,115,29
BTEST22105199301,GAIM Grete,2,10
BTBLR21403198501,DUBAREZAVA Nastassia,103,29
BTLAT20510198901,JUSKANE Zanna,3,12
BTKAZ20609198901,USANOVA Darya,1,12
BTLTU22502198401,RASIMOVICIUTE Diana,31,22
BTROU21403198801,PISCORAN Luminita,10,22
BTFIN21404199001,MARKKANEN Sanna,3,9
BTSVK21412198901,CHRAPANOVA Martina,14,17
BTBLR20309197701,VINOGRADOVA Ekaterina,3,10
BTRUS22203198801,VILUKHINA Olga,357,28
BTNOR22505199001,LANDHEIM Bente,28,20
BTEST20303199201,YURLOVA Daria,18,10
BTCZE20812198801,ZVARICOVA Veronika,3,8
BTGER22403198701,HILDEBRAND Franziska,143,23
BTUSA22502198301,DUNKLEE Susan,77,26
BTGER20503198001,BUCHHOLZ Sabrina,9,10
BTCAN22305198801,CRAWFORD Rosanna,10,8
BTKAZ21311198901,OKOLZDAYEVA Galina,1,1
BTLAT22706199101,BENDIKA Baiba,3,9
BTSWE21607199101,ANDERSSON Ingela,2,5
BTCZE22112198901,JOHANIDESOVA Lea,4,10
BTFRA21401198801,BOLLIET Marine,36,17
BTEST21908199001,VIIGIPUU Kristel,18,16
BTBUL20505198901,YORDANOVA Emilia,26,25
BTPOL22708199101,HOJNISZ Monika,19,10
BTRUS21209198201,SOROKINA Natalia,18,5
BTSVK11407198201,MATIASKO Miroslav,17,11
BTCHN12112198801,REN Long,10,10
BTBLR12704197901,NOVIKOV Sergey,70,23
BTNED10902198501,COOL Herbert,4,4
BTITA10202198201,MARTINELLI Christian,2,5
BTRUS11903198701,MALYSHKO Dmitry,256,24
BTBUL12004198801,KENANOV Miroslav,14,11
BTRUS10302198801,LAPSHIN Timofey,143,15
BTESP11806198301,PULIDO SERRANO Samuel,1,3
BTGER10405198301,ROESCH Michael,60,11
BTBLR10803198901,ALENISHKO Vladimir,42,15
BTCHN12004198601,LI Zhonghai,2,5
BTCAN11902198601,BEDARD Marc Andre,3,7
BTCHN20511199101,TANG Jialin,47,11
BTCZE20912198801,VITKOVA Veronika,103,25
BTRUS21206197901,BOGALIY-TITOVETS Anna,218,25
BTGER20309198601,LANG Kathrin,1,2
BTGER20402198601,HENNECKE Carolin,10,2
BTSUI20212199101,GASPARIN Elisa,6,11
BTITA22711199101,RUNGGALDIER Alexia,2,4
BTRUS21105198301,ROMANOVA Yana,43,9
BTKAZ21002199401,VISHNEVSKAYA Galina,0,2
BTCHN22103199101,SONG Chaoqing,11,12
BTSWE20711198601,HOEGBERG Elisabeth,23,13
BTJPN10807198701,WAKAMATSU Sho,0,3
BTEST11308198601,STEPTSENKO Danil,5,12
BTLTU11902198501,ZLATKAUSKAS Karolis,3,13
BTLTU12203198201,LAVRINOVIC Aleksandr,1,7
BTCZE20111198901,SOUKALOVA Gabriela,18,7
BTBUL21004199201,STOYANOVA Desislava,5,7
BTCHN21005199201,ZHANG Yan,25,7
BTCAN21009198801,HEINICKE Megan,6,6
BTKAZ10810198501,NAUMIK Sergey,11,10
BTCHN12005198201,ZHANG Chengye,2,6
BTSVK10402197801,HURAJT Pavol,35,17
BTESP12706198801,FERNANDEZ MUSSO Manuel,5,6
BTNOR10503198601,ENG Martin,21,6
BTNOR10909197401,ANDRESEN Frode,0,2
BTITA10305198401,COLA Mattia,0,1
BTFRA12403198801,BEATRIX Jean Guillaume,117,21
BTNOR21203199001,NOSSUM Ane Skrove,1,7
BTCHN21008198301,WANG Chunli,6,4
BTGBR21804197601,POTTON Fay,0,4
BTGER22106198601,HORCHLER Nadine,10,3
BTUSA20108198401,COOK Annelies,8,17
BTBLR23007199101,KRYUKO Iryna,12,12
BTNOR20111198401,ROEKSUND Birgitte,2,3
BTSLO21204199001,DRCAR Lili,0,4
BTFIN12802199001,ORPANA Sami,0,1
BTSUI22312199301,JOST Patricia,2,3
BTCAN12512198501,SMITH Nathan,10,11
BTROM11703198901,GERBACEA Roland,0,2
BTKOR22302199301,KIM Seora,11,8
BTCZE20301199101,PUSKARCIKOVA Eva,0,1
BTSVK21102198201,KALINOVA Lubomira,4,6
BTFIN22208198701,PORELA-TIIHONEN Susanna,0,2
BTFIN22302198201,OKSANEN Eevamari,3,9
BTEST22706199301,TALIHAERM Johanna,0,1
BTROU20109199301,POTINGA Irina,0,2
BTNOR12303198601,L'ABEE-LUND Henrik,10,6
BTSUI12006198401,BOECKLI Claudio,6,8
BTPOL13003198601,KWAK Adam,2,4
BTLAT12211199001,KOLESNIKOVS Arturs,9,10
BTGBR23001198701,LIGHTFOOT Amanda,15,10
BTSUI22310199101,CADURISCH Irene,0,2
BTJPN22105199001,NAKAJIMA Yuki,8,14
BTROM22010198501,SZOECS Emoeke,5,6
BTUKR21909199001,DZHYMA Juliya,36,8
BTPOL22502198701,PITON Karolina,0,3
BTITA21710198501,FIANDINO Roberta,3,5
BTJPN22512198901,TORII Mika,0,3
BTFRA20303198601,MACABIES Pauline,0,1
BTRUS22510198601,SHUMILOVA Ekaterina,10,7
BTBEL12604197101,LANGER Thorsten,4,7
BTSWE12705198801,ARMGREN Ted,11,9
BTSUI12304198101,STEBLER Christian,2,10
BTGER11606198601,BOEHM Daniel,38,9
BTSLO12112199001,KOCEVAR Simon,3,5
BTFIN12109198701,SIMOLA Ville,11,6
BTEST20305198501,LEHTLA Kadri,26,14
BTFRA21703198801,BAUD Jacquemine,1,2
BTUSA22604198201,BARNES Tracy,3,5
BTEST10701198201,VIKS Priit,6,4
BTUKR11801198401,BEREZHNOY Oleg,30,7
BTLAT10907197001,BRICIS Ilmars,2,5
BTUSA11806198701,CURRIER Russell,50,9
BTGER11705198801,LESSER Erik,7,7
BTLAT10901198201,BERZINS Janis,4,2
BTRUS22204198701,GLAZYRINA Ekaterina,78,10
BTSVK22510199201,FIALKOVA Paulina,1,3
BTFRA22306198501,BRETON Claire,1,1
BTNOR22105199001,ECKHOFF Tiril,32,9
BTNOR10503198602,HAFSAS Ronny,0,1
BTAUT11201198501,EBERHARD Tobias,8,5
BTITA12610197701,VUILLERMOZ Rene Laurent,3,8
BTPOL20707198601,NOWAKOWSKA-ZIEMNIAK Weronika,101,28
BTAUT21701199101,INNERHOFER Katharina,2,4
BTSCG10402198601,HODZIC Edin,8,7
BTROM10606198901,FAUR Remus,0,1
BTEST21302198401,SAUE Eveli,2,5
BTJPN22901198501,AZEGAMI Naoko,0,4
BTROU21912199201,CIRSTEA Florina Ioana,1,5
BTLTU21704198501,KOCERGINA Natalija,0,8
BTCZE22007199001,LANDOVA Jitka,0,5
BTRUS21101198401,BOULYGINA Anna,21,3
BTUKR21609198901,TSESELSKA Kateryna,0,1
BTEST22710198501,HANNI Sirli,0,1
BTBUL21901199001,KOEVA Dafinka,1,2
BTSWE11702198901,ERIKSSON Christofer,8,2
BTBUL10108199001,ZLATEV Ivan,0,1
BTBUL12112199001,CHORBADZHIEV Vasil,0,1
BTEST12312198901,REMMELG Martin,0,1
BTBEL10809198401,NAVEAU Vincent,3,4
BTUKR12805198901,SERDYUK Mykhaylo,0,1
BTFIN11407198301,KANTANEN Janne,0,1
BTSWE11305198801,STEGMAYR Gabriel,0,1
BTCZE11702198901,KRISTEJN Lukas,5,4
BTNOR12101198001,OS Alexander,9,5
BTAUT10911198601,EBERHARD Julian,1,1
BTCZE12301199101,KRCMAR Michal,1,2
BTFIN22107198801,TOIVANEN Laura,0,1
BTRUS21510198801,ZAGORUIKO Anastasia,5,4
BTLTU21405198901,SABALIAUSKIENE Aliona,4,4
BTRUS22809198001,KHRUSTALEVA Elena,27,5
BTROU10506199301,VAMANU Laurentiu,0,4
BTGBR21008197601,WALKER Adele,0,5
BTBEL12410199101,LANGER Thierry,0,3
BTESP12201198901,QUINTANA ARIAS Pedro,2,2
BTGRL13006199101,OLSEN Aqqaluartaa,0,2
BTMKD11507198101,DAMJANOVSKI Darko,2,2
BTTUR12701199001,USTUNTAS Ahmet,4,2
BTBIH10606199201,LOPATIC Stefan,1,2
BTCRO13009199201,BUTKOVIC Dino,0,3
BTMKD10305198401,ICOSKI Gjorgji,2,2
BTHUN10310198101,GOMBOS Karoly,0,2
BTCRO11806199201,VEVEREC Jurica,1,3
BTUZB12508198801,YUNUSOV Anuzar,0,2
BTMDA11102199201,PINZARU Victor,2,2
BTHUN12812199001,SZABO Milan,2,2
BTKOR11012199301,KIM Yonggyu,0,3
BTBIH11303198901,KOSARAC Nemanja,0,2
BTBEL13012197701,LANGER Pascal,0,3
BTAUS10709199201,HARMER Dyllan,8,2
BTSCG11601198601,KRSMANOVIC Dejan,0,1
BTTUR10101199201,CIVIL Orhangazi,3,2
BTJPN11705198801,TACHIZAKI Mikito,0,1
BTCRO12805199101,CRNKOVIC Tomislav,1,3
BTKOR11407199301,KIM Jongmin,0,3
BTDEN12008196701,SLETTEMARK Oystein,1,2
BTGRE12504198801,KARAMICHAS Kleanthis,3,2
BTHUN12304198601,MUSKATAL Istvan,0,2
BTPOL11302199001,LEPEL Rafal,7,1
BTAUT20212198901,DUERINGER Ramona,9,7
BTLTU20112199301,KAZNACENKO Marija,0,3
BTMDA22808198801,CAMENSCIC Alexandra,2,2
BTNZL21602198801,MURPHY Sarah,2,2
BTBIH22307199101,KARISIK Tanja,0,2
BTGRE21205199001,TSAKIRI Panagiota,0,1
BTKOR21006199301,KIM Kyungnam,1,3
BTBRA22712197501,MOURAO Jaqueline,0,2
BTLAT22001199201,PASKOVSKA Inga,2,3
BTITA21711199101,GONTIER Nicole,1,3
BTAUS21610199401,GLANVILLE Lucy,2,2
BTCAN22003199001,ODDOU Yolaine,2,3
BTDEN20608196501,SLETTEMARK Uiloq,2,2
BTTUR20201199201,ERDILER Nihan,0,2
BTKAZ12503199101,PANTOV Anton,2,1
BTJPN12606199001,TSUNODA Ryo,0,2
BTSRB11705199101,HRKALOVIC Emir,0,3
BTCHN20904199101,WANG Yue,0,1
BTJPN22610199001,GOSHONO Arisa,0,1
BTCRO10308199001,TADEJEVIC Zvonimir,0,1
BTRUS12011198601,KLYACHIN Sergey,3,2
BTGER12403199001,DOLL Benedikt,4,2
BTRUS20305199001,ALIKINA Aleksandra,2,2
BTGER20807198601,DÃ–LL Juliane,0,2
BTGER22410198902,HAMMERSCHMIDT Maren,3,2
BTRUS21608198401,KOROVINA Marina,3,2
BTGRE11501196501,TSAKIRIS Athanasios,2,2
BTESP21008198801,PADIAL HERNANDEZ Victoria,1,2
BTGBR12705198801,GIBSON Carl,0,3
BTFIN13004198401,HAKALA Matti,0,1
BTLAT11501198901,PRAULITIS Toms,0,1
BTCAN20407198501,SCHULTZ Melanie,0,1
BTAUT22912199301,RIEDER Christina,5,1
BTGBR10403198601,WOOLLEY Ben,0,2
BTITA12405198701,TASCHLER Daniel,0,2
BTKAZ22608199001,KISTANOVA  Anna,0,1
